
Array Size = 1000
SIMD MUL Peak then Avg
817
747.964
NON_SIMD MUL Peak then Avg
120.513
120.282
SIMD MUL_SUM Peak then Avg
966.247
955.665
NON_SIMD MUL_SUM Peak then Avg
121.612
121.444
Array Size = 10000
SIMD MUL Peak then Avg
1003.73
906.606
NON_SIMD MUL Peak then Avg
120.451
112.597
SIMD MUL_SUM Peak then Avg
997.994
990.955
NON_SIMD MUL_SUM Peak then Avg
122.081
121.028
Array Size = 100000
SIMD MUL Peak then Avg
782.768
730.97
NON_SIMD MUL Peak then Avg
120.663
120.151
SIMD MUL_SUM Peak then Avg
978.769
971.009
NON_SIMD MUL_SUM Peak then Avg
122.182
121.499
Array Size = 1000000
SIMD MUL Peak then Avg
765.602
723.704
NON_SIMD MUL Peak then Avg
120.08
119.97
SIMD MUL_SUM Peak then Avg
1861.81
1766.27
NON_SIMD MUL_SUM Peak then Avg
233.466
233.041
Array Size = 10000000
SIMD MUL Peak then Avg
917.641
809.839
NON_SIMD MUL Peak then Avg
223.953
191.53
SIMD MUL_SUM Peak then Avg
1383.61
1304.87
NON_SIMD MUL_SUM Peak then Avg
227.476
226.585
Array Size = 20000000
SIMD MUL Peak then Avg
896.3
778.854
NON_SIMD MUL Peak then Avg
223.184
221.145
SIMD MUL_SUM Peak then Avg
1413.07
1317.37
NON_SIMD MUL_SUM Peak then Avg
227.358
226.742
Array Size = 32000000
SIMD MUL Peak then Avg
849.72
774.137
NON_SIMD MUL Peak then Avg
225.739
225.307
SIMD MUL_SUM Peak then Avg
1397.76
1280.24
NON_SIMD MUL_SUM Peak then Avg
229.946
229.359
